date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:46:56	312/312	---M-Z	200	added ('OK')	text/plain	date:Tue,%2014%20Sep%202021%2002:42:14%20GMT	https://travlr.com/robots.txt		(from )
10:46:56	111433/111433	---M-Z	200	added ('OK')	text/html	etag:W/%22857c847ba446db2509b031d86b0719b5%22	https://travlr.com/	C:/Mes%20Sites%20Web/Travlr/travlr.com/index.html	(from )
10:46:57	0/0	---M--	301	error ('Moved%20Permanently')	image/png	etag:W/%223c950dba5cd2ac58d529750fd487f121%22	http://static1.squarespace.com/static/5785aaf220099e1db58a1d4f/t/5c368c7b0ebbe8ad117cf614/1547078816384/Screen+Shot+2019-01-04+at+17.36.30.png?format=1500w	C:/Mes%20Sites%20Web/Travlr/static1.squarespace.com/static/5785aaf220099e1db58a1d4f/t/5c368c7b0ebbe8ad117cf614/1547078816384/Screen+Shot+2019-01-04+at+17.36.30.026f7.delayed	(from https://travlr.com/)
10:46:58	20673/20673	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2016%20Sep%202021%2008:46:58%20GMT	http://use.typekit.com/eyf5oai.js	C:/Mes%20Sites%20Web/Travlr/use.typekit.com/eyf5oai.js	(from https://travlr.com/)
10:47:00	43523/43523	---M-Z	200	added ('OK')	text/javascript	etag:%22f4b230dad791cfb9f8ea64c9781aadfb%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/@sqs/polyfiller/1.2.2/legacy.js	(from https://travlr.com/)
10:47:03	82046/82046	---M-Z	200	added ('OK')	text/javascript	etag:%2203e5ef7c77d113abf6178fce61ec6344%22	http://assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/@sqs/polyfiller/1.2.2/modern.js	(from https://travlr.com/)
10:47:04	121795/121795	---M-Z	200	added ('OK')	text/javascript	etag:%229bcf3a9a50da60d3109da947d39970ee%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-be81d1ce004cbca505842-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-be81d1ce004cbca505842-min.en-US.js	(from https://travlr.com/)
10:47:05	257746/257746	---M-Z	200	added ('OK')	text/javascript	etag:%220e28a2bab2568967b06ccb29a987d025%22	http://assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/moment-js-vendor-26ddeab7fa5f90b6c8cb3-min.en-US.js	(from https://travlr.com/)
10:47:15	249003/249003	---M-Z	200	added ('OK')	text/javascript	etag:%220e841bcf7e0ea7b9d9db3c7abce8357a%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5f58a0e5b599c258afba7-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-5f58a0e5b599c258afba7-min.en-US.js	(from https://travlr.com/)
10:47:18	43266/43266	---M-Z	200	added ('OK')	text/javascript	etag:%22c0c9de43799261036fbb36641ef792dc%22	http://assets.squarespace.com/universal/scripts-compressed/performance-3fba3af606f4dadefb3ec-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/performance-3fba3af606f4dadefb3ec-min.en-US.js	(from https://travlr.com/)
10:47:25	755/755	---M--	200	added ('OK')	application/rss+xml	etag:W/%228c757459238f49dcedb6260472a55d9d%22	https://travlr.com/travlr-b2b-white-labelled-offering?format=rss	C:/Mes%20Sites%20Web/Travlr/travlr.com/travlr-b2b-white-labelled-offeringa409	(from https://travlr.com/)
10:47:29	500627/500627	---M-Z	200	added ('OK')	text/css	etag:W/%2299177a4a85f6842a204bdd63e5e6ab78--gzip%22	https://static1.squarespace.com/static/sitecss/5785aaf220099e1db58a1d4f/227/5eafc034ee13ec47875cd9b9/5eafc034ee13ec47875cd9c0/2-05142015/1624426736805/site.css	C:/Mes%20Sites%20Web/Travlr/static1.squarespace.com/static/sitecss/5785aaf220099e1db58a1d4f/227/5eafc034ee13ec47875cd9b9/5eafc034ee13ec47875cd9c0/2-05142015/1624426736805/site.css	(from https://travlr.com/)
10:47:33	666837/666837	---M-Z	200	added ('OK')	text/javascript	etag:%22bb730f91a325cd39682f0ab6ca4fa258%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-d2ee086f902ec6c8d459f-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/common-vendors-d2ee086f902ec6c8d459f-min.en-US.js	(from https://travlr.com/)
10:47:34	3587/3587	---M--	200	added ('OK')	image/png	etag:COLa/aXrjOsCEAE=	http://images.squarespace-cdn.com/content/v1/5785aaf220099e1db58a1d4f/1589339840320-47IOTVBCFA3CHMHQLIGN/Main+Logo%403x.png?format=1500w	C:/Mes%20Sites%20Web/Travlr/images.squarespace-cdn.com/content/v1/5785aaf220099e1db58a1d4f/1589339840320-47IOTVBCFA3CHMHQLIGN/Main+Logo@3x26f7.png	(from https://travlr.com/)
10:47:38	866712/866712	---M-Z	200	added ('OK')	text/javascript	etag:%227bb42cee840a2423f5b5bd5f34f0cbae%22	http://assets.squarespace.com/universal/scripts-compressed/common-d929e00a58f0e4f694797-min.en-US.js	C:/Mes%20Sites%20Web/Travlr/assets.squarespace.com/universal/scripts-compressed/common-d929e00a58f0e4f694797-min.en-US.js	(from https://travlr.com/)
10:47:38	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2016%20Sep%202021%2008:47:36%20UTC	https://travlr.com/%22https://player.vimeo.com/video/548191863?app_id=122963\%22	C:/Mes%20Sites%20Web/Travlr/travlr.com/_https_/player.vimeo.com/video/548191863.f4320.delayed	(from https://travlr.com/)
